item,itemcate,itemprice
aw11252,家電,2500
je11253,食品,4700
kg11254,本,2293
sf11255,衣料,29000
go11256,家電,13700
lc11257,家具,17400
el11258,雑貨,23700
pa11259,本,908
ol11260,家電,16200
nb11261,本,789
fc11262,家電,29200
kk11263,食品,23900
dz11264,家具,8000
py11265,家電,2300
ss11266,家電,25600
iy11267,食品,3500
yh11268,雑貨,29300
rv11269,食品,19200
xf11270,雑貨,25200
dl11271,家電,21300
ke11272,衣料,27100
ep11273,本,856
lu11274,雑貨,28600
vt11275,衣料,9500
gm11276,本,2162
da11277,家具,5200
lq11278,本,705
ne11279,本,1036
so11280,本,1355
ul11281,衣料,19400
hy11282,衣料,15000
pp11283,雑貨,29900
oc11284,衣料,8500
es11285,家具,28500
mc11286,雑貨,6600
ak11287,食品,9700
tt11288,食品,27000
yh11289,雑貨,11400
pk11290,家具,12100
ck11291,家電,24900
nq11292,家電,15500
fv11293,本,727
jw11294,食品,7200
cz11295,本,797
qr11296,食品,4900
sf11297,本,1096
kr11298,衣料,22700
jp11299,雑貨,13600
cv11300,食品,7200
bb11301,家電,29200
kl11302,家電,4300
zb11303,衣料,21300
xq11304,雑貨,27500
by11305,食品,15900
gf11306,食品,20600
nd11307,衣料,25600
zk11308,家具,13300
lt11309,家電,8200
rr11310,食品,10800
pa11311,食品,13900
my11312,雑貨,14900
zu11313,本,1277
gw11314,食品,23800
jq11315,本,1685
rs11316,本,1986
wt11317,家具,27400
mk11318,食品,9800
vf11319,家電,11200
hu11320,本,785
qn11321,家電,6500
mk11322,雑貨,27800
du11323,衣料,25400
kp11324,衣料,3400
it11325,衣料,7100
ge11326,本,1557
be11327,雑貨,13600
bh11328,衣料,12500
lv11329,本,1664
dm11330,食品,17500
ti11331,本,1631
ne11332,本,1656
cm11333,雑貨,21100
lf11334,本,2007
qh11335,雑貨,29500
df11336,家電,24000
ly11337,家電,15000
vq11338,食品,27700
pz11339,家電,13700
om11340,雑貨,9700
om11341,雑貨,18900
ma11342,雑貨,29600
tg11343,衣料,4300
zg11344,食品,6800
ll11345,家電,14400
bv11346,衣料,22200
re11347,衣料,20600
kl11348,衣料,2000
ph11349,家電,25600
ut11350,雑貨,11900
sp11351,本,1214
zv11352,雑貨,4900
my11353,家電,10800
co11354,家電,17600
uq11355,食品,9500
lx11356,家具,2200
rc11357,本,1170
up11358,雑貨,16700
qd11359,家電,19000
dm11360,食品,16000
ze11361,食品,24600
nt11362,雑貨,10500
pg11363,食品,23100
bb11364,衣料,19900
fu11365,雑貨,13400
mp11366,家具,15600
wk11367,本,1144
mp11368,家電,16800
mj11369,食品,15500
az11370,家具,13600
nc11371,本,2017
gx11372,家具,22600
eq11373,本,2120
wf11374,家具,13700
am11375,雑貨,24600
qp11376,家電,3300
yb11377,衣料,16300
at11378,家具,23600
hd11379,食品,5700
yb11380,家電,3100
lv11381,家具,3300
oy11382,雑貨,24800
ue11383,衣料,17000
xm11384,雑貨,28200
bw11385,家具,20700
kk11386,本,1166
fv11387,食品,13900
ah11388,食品,17400
im11389,食品,12400
us11390,食品,17400
hz11391,家電,23700
my11392,本,1868
pt11393,家具,1200
vw11394,食品,10100
gm11395,衣料,19100
os11396,家電,27800
lq11397,本,719
mm11398,雑貨,24800
bk11399,食品,7300
go11400,雑貨,5900
yh11401,雑貨,13200
da11402,本,1456
jd11403,家具,13800
sy11404,雑貨,23600
yi11405,家具,17300
lx11406,衣料,18600
wg11407,衣料,8800
uz11408,雑貨,12600
km11409,食品,16200
cs11410,家電,11500
nq11411,雑貨,20200
ip11412,衣料,26100
sc11413,本,2057
kz11414,食品,23100
te11415,食品,20200
vx11416,雑貨,4500
xp11417,雑貨,26600
vq11418,家電,23200
oo11419,家具,26200
te11420,雑貨,27600
dp11421,家電,23200
dd11422,衣料,21700
ak11423,家具,3000
ww11424,雑貨,21500
sb11425,雑貨,23000
ho11426,食品,15500
jg11427,家具,17000
wi11428,家具,11700
uq11429,家電,8300
fe11430,衣料,26800
gp11431,家電,29600
bl11432,本,1744
ah11433,雑貨,9800
br11434,食品,10900
cd11435,家具,2700
ew11436,本,1403
mb11437,食品,19300
mm11438,家具,14000
jp11439,食品,20000
dn11440,家具,29300
ez11441,食品,8700
bb11442,家具,18900
gy11443,家電,11800
tf11444,食品,27000
xs11445,本,1093
uc11446,雑貨,14600
gw11447,家電,25900
jc11448,食品,13400
qs11449,家具,12900
sl11450,雑貨,22000
sg11451,衣料,27700
zu11452,家具,26400
gq11453,本,1584
mf11454,家具,11700
di11455,食品,9900
ro11456,雑貨,2800
vz11457,食品,24700
nx11458,家電,7700
vq11459,家電,15600
ci11460,本,635
pu11461,本,1515
yy11462,食品,10000
nf11463,家電,19500
ki11464,衣料,12300
qa11465,家電,15400
gn11466,衣料,18700
dg11467,衣料,28300
jv11468,本,772
gk11469,家電,23800
vn11470,本,1836
iv11471,衣料,3400
ge11472,家具,11000
he11473,雑貨,27900
wa11474,食品,17500
jl11475,衣料,10600
en11476,雑貨,8100
yq11477,雑貨,1700
ap11478,家電,27600
tv11479,家具,12300
px11480,家具,15700
vb11481,家具,12600
lb11482,家具,12200
bw11483,本,2329
ya11484,家電,27700
vt11485,衣料,21300
ly11486,雑貨,26400
ok11487,家電,7100
ob11488,家具,24400
gx11489,食品,23200
jj11490,雑貨,9300
qu11491,家具,24600
so11492,食品,4200
mz11493,食品,21400
yu11494,食品,26800
ie11495,雑貨,23800
my11496,本,2257
ka11497,雑貨,7900
kv11498,家電,21300
aw11499,食品,23300
bt11500,衣料,16500
ec11501,食品,14000
vw11502,衣料,8700
qy11503,家電,18900
fv11504,家電,28000
dg11505,本,840
vb11506,衣料,26200
gn11507,家電,10000
sg11508,食品,20000
dv11509,家具,24200
yr11510,本,2138
lw11511,雑貨,28700
yo11512,家電,20300
wz11513,家電,3400
qy11514,本,715
me11515,家具,14500
wt11516,食品,10900
ex11517,雑貨,22700
ux11518,家具,26700
pv11519,家電,23000
hq11520,雑貨,18700
uf11521,衣料,4500
qw11522,衣料,3300
kf11523,家具,25000
wu11524,雑貨,6500
fg11525,衣料,17800
ly11526,家具,1300
pl11527,家電,2200
rs11528,本,1683
ox11529,雑貨,4800
ph11530,本,650
xi11531,本,2254
yv11532,家電,20700
pl11533,本,1562
ef11534,衣料,19400
bx11535,衣料,2500
pn11536,雑貨,29400
gt11537,家電,25000
vs11538,雑貨,13200
vw11539,本,1685
ej11540,家電,26300
ns11541,本,1350
sv11542,家電,19100
aj11543,食品,1300
fv11544,本,2322
sp11545,食品,27000
au11546,家電,15600
pi11547,本,901
me11548,本,1127
zz11549,家電,23400
de11550,本,1548
bs11551,食品,11500
cd11552,衣料,10000
uz11553,家電,17300
rc11554,家電,26600
rc11555,食品,9300
bl11556,家具,23700
hi11557,雑貨,1800
aa11558,衣料,6000
eb11559,本,2250
be11560,雑貨,22900
rn11561,食品,13600
wn11562,家具,15800
vg11563,家電,29700
gn11564,家具,11500
oi11565,家電,14600
be11566,食品,5200
ib11567,食品,10200
di11568,雑貨,14600
op11569,衣料,27400
cf11570,家具,11900
ty11571,衣料,28200
jv11572,家具,26000
au11573,家具,13900
xs11574,本,2061
fg11575,家電,26400
qf11576,本,2493
gf11577,家電,22000
xm11578,家電,18500
zc11579,家具,2800
oj11580,本,1925
mx11581,家電,12000
ht11582,本,1993
ee11583,衣料,25900
tt11584,食品,22000
yo11585,本,1771
sz11586,衣料,26800
zv11587,雑貨,14300
ri11588,衣料,24700
rr11589,衣料,14400
ja11590,家具,2900
zr11591,衣料,13800
uw11592,衣料,3600
dq11593,食品,11400
ya11594,家電,22300
xa11595,本,670
ch11596,雑貨,3200
tf11597,家具,26900
pu11598,家具,15800
vj11599,雑貨,9600
my11600,雑貨,11300
sq11601,雑貨,19700
oh11602,衣料,23200
zp11603,食品,17400
nh11604,雑貨,4500
ng11605,家電,11000
gk11606,家具,6500
wx11607,家電,10200
aw11608,家具,8600
nu11609,雑貨,24900
kz11610,家具,28500
mq11611,食品,3100
bw11612,家具,22400
fd11613,衣料,26800
vb11614,衣料,3100
uy11615,雑貨,22600
ev11616,衣料,11800
mr11617,家具,24400
pf11618,衣料,5900
ff11619,本,662
ob11620,食品,27700
bb11621,本,799
ca11622,家具,6400
oj11623,本,2464
ew11624,食品,12600
wz11625,家具,25500
qj11626,衣料,25700
kh11627,衣料,14600
jt11628,食品,26500
aa11629,衣料,20900
lp11630,家電,10900
xg11631,衣料,29300
az11632,衣料,28100
xz11633,家電,2800
nv11634,本,2049
yf11635,家具,18900
ma11636,家具,10600
sy11637,衣料,23200
zv11638,家電,6100
yk11639,本,1350
ee11640,家電,20500
cf11641,食品,2500
lb11642,雑貨,7800
il11643,本,1696
nd11644,食品,9300
fs11645,本,1927
mf11646,衣料,17500
nj11647,食品,4200
uo11648,食品,9500
ed11649,衣料,27200
jv11650,衣料,14700
fs11651,家電,20900
mj11652,衣料,19900
wp11653,雑貨,29500
cb11654,衣料,24800
pj11655,雑貨,27900
lp11656,家具,22700
zh11657,家具,6200
ep11658,本,2331
vd11659,雑貨,16500
gu11660,食品,29100
ad11661,衣料,24700
ix11662,食品,29800
rj11663,本,2376
wi11664,家電,14500
cw11665,衣料,10900
gr11666,雑貨,17100
yx11667,食品,16300
xh11668,家具,29100
mz11669,家電,12600
tp11670,雑貨,12100
hz11671,食品,12000
dc11672,衣料,20800
os11673,衣料,26600
hr11674,雑貨,2100
jh11675,衣料,12900
hn11676,食品,11500
xx11677,家電,5000
oe11678,本,968
gi11679,食品,23100
yq11680,雑貨,13600
re11681,衣料,26800
ft11682,雑貨,17000
wk11683,本,2286
ve11684,家電,11500
eg11685,雑貨,22000
kp11686,衣料,7000
no11687,本,2028
gq11688,家電,16800
za11689,衣料,29100
hk11690,衣料,26900
yq11691,雑貨,21500
my11692,雑貨,19800
jf11693,食品,5400
an11694,衣料,11600
sf11695,雑貨,11800
eq11696,家具,26100
br11697,家具,11100
ik11698,家具,23700
nj11699,雑貨,29600
bn11700,家具,1200
fj11701,雑貨,6500
ro11702,家具,22900
fw11703,衣料,4300
ds11704,食品,13200
gn11705,本,1671
wd11706,雑貨,13500
gy11707,家具,25100
wq11708,食品,16400
jf11709,雑貨,26500
on11710,家具,8200
tz11711,家電,17700
dl11712,食品,10000
si11713,家電,15200
dl11714,雑貨,24900
ue11715,食品,8300
tt11716,衣料,6400
vw11717,家電,2800
du11718,衣料,22500
pv11719,食品,10200
nf11720,家電,4800
yq11721,本,1111
gz11722,食品,9000
ct11723,家電,16400
fm11724,本,1478
cl11725,家電,19700
pl11726,衣料,16100
vy11727,雑貨,29400
ir11728,雑貨,2200
tz11729,家電,25500
hy11730,食品,26300
wj11731,食品,24100
wr11732,雑貨,2800
ye11733,食品,4300
ta11734,家電,21700
cg11735,家電,3300
aq11736,食品,9100
qe11737,衣料,4300
jo11738,食品,23700
co11739,雑貨,6100
jo11740,食品,16900
rg11741,衣料,25100
di11742,家電,11800
zz11743,衣料,25600
mt11744,食品,7000
te11745,家電,9100
xy11746,家具,20400
oc11747,食品,6700
sy11748,家具,11800
qq11749,家電,6700
ip11750,本,1421
iw11751,家電,18000
ge11752,衣料,15000
my11753,雑貨,22300
gj11754,雑貨,26000
wb11755,家電,19000
gt11756,雑貨,28000
ns11757,家具,7200
pg11758,食品,26500
fk11759,衣料,23000
qr11760,家具,13800
lm11761,雑貨,22200
yv11762,本,1357
vt11763,雑貨,13000
tn11764,雑貨,16300
db11765,家具,11800
mq11766,雑貨,11300
kf11767,本,895
rx11768,家電,26800
gq11769,食品,23200
zf11770,食品,7500
xv11771,雑貨,24000
nb11772,家電,27300
by11773,本,1755
ma11774,雑貨,18600
un11775,家電,16800
qg11776,雑貨,20100
sd11777,食品,24600
vr11778,衣料,22500
ce11779,雑貨,10800
zo11780,家電,9600
wt11781,家電,10100
dr11782,雑貨,16300
kq11783,食品,25400
fd11784,家具,14700
uk11785,家具,2500
yc11786,家具,2800
en11787,衣料,24100
kb11788,雑貨,28200
zw11789,食品,13200
cn11790,家電,27200
wr11791,家具,22500
bm11792,食品,14600
tt11793,衣料,14600
db11794,家具,24600
wo11795,本,1574
hw11796,家電,5000
vb11797,家具,28700
jd11798,本,1426
ui11799,家具,13700
ex11800,食品,24400
ra11801,衣料,24000
ff11802,本,1736
pd11803,本,1344
wx11804,家電,17900
kz11805,衣料,7700
sh11806,家電,18900
xf11807,本,889
xs11808,家電,16600
gs11809,家具,29000
rk11810,家電,6700
hz11811,家電,7600
yf11812,衣料,2800
be11813,本,2430
av11814,家電,12200
oo11815,雑貨,23800
zb11816,家電,11700
nt11817,本,1949
pf11818,家電,26100
tv11819,本,1666
dh11820,雑貨,5700
qj11821,家具,27000
iw11822,家具,26100
ii11823,本,1231
ib11824,衣料,27700
nj11825,食品,6900
jx11826,家電,15600
tk11827,雑貨,2500
yr11828,家具,20100
gc11829,衣料,9700
vv11830,家具,7700
zy11831,家具,7300
ty11832,衣料,14700
if11833,本,2144
kq11834,家電,12800
ba11835,家具,11500
xg11836,家具,24500
el11837,雑貨,11400
yj11838,家電,19100
jg11839,本,1606
sf11840,本,2278
ee11841,雑貨,14500
nj11842,衣料,12800
be11843,本,2301
tc11844,食品,17400
zg11845,雑貨,19100
hi11846,雑貨,11900
pi11847,食品,9700
gz11848,衣料,3000
zg11849,家具,3200
vv11850,食品,11400
po11851,家電,28200
il11852,家電,22200
fx11853,衣料,29000
qv11854,家電,28400
mj11855,本,935
lh11856,本,2134
iu11857,本,1931
lh11858,衣料,9700
mb11859,衣料,15200
ac11860,家電,24400
lt11861,家電,6100
bb11862,食品,20900
aj11863,雑貨,19500
ig11864,雑貨,5600
bb11865,家電,18600
zp11866,衣料,18300
nw11867,衣料,29600
gq11868,本,1484
pv11869,家具,5900
cj11870,家具,13800
qv11871,家電,25100
fy11872,食品,11700
ny11873,衣料,22200
vq11874,家電,29100
iw11875,家具,24300
gs11876,食品,10700
be11877,雑貨,6900
le11878,衣料,19500
ri11879,家具,7400
ri11880,家具,21300
cp11881,家具,19400
ha11882,雑貨,12100
na11883,雑貨,15400
te11884,家具,26800
fi11885,雑貨,11800
bw11886,雑貨,25400
is11887,衣料,2900
vw11888,家具,3600
dh11889,衣料,14400
du11890,家電,2300
da11891,本,1302
qc11892,食品,7600
oj11893,食品,6600
px11894,衣料,1300
hf11895,衣料,14400
fh11896,食品,9600
im11897,食品,18300
ey11898,食品,28800
ez11899,家具,23300
zk11900,衣料,3100
jk11901,家具,12600
ci11902,雑貨,19400
ds11903,本,2315
ab11904,家電,5900
ek11905,本,1268
ao11906,食品,15900
eg11907,家電,7800
hs11908,食品,14700
np11909,家具,10400
ug11910,食品,3800
if11911,衣料,12600
ph11912,雑貨,25400
mt11913,食品,24600
gl11914,本,872
ya11915,雑貨,15000
il11916,食品,25000
ir11917,雑貨,13600
bg11918,衣料,3600
dv11919,家電,1500
th11920,衣料,26100
fs11921,雑貨,6800
db11922,雑貨,19900
om11923,家電,4000
be11924,雑貨,25800
pg11925,本,1274
fd11926,家具,13600
hw11927,衣料,21100
ko11928,家具,10800
gj11929,食品,12800
jj11930,家具,18100
nl11931,家電,14000
vm11932,衣料,25000
pk11933,雑貨,3000
lv11934,家具,10200
fq11935,家電,25400
cy11936,家電,6100
ue11937,家具,4100
ah11938,雑貨,5900
er11939,本,2295
gh11940,食品,14900
ff11941,家具,11300
zi11942,食品,2700
tf11943,本,2447
dp11944,家電,20600
jq11945,家具,4400
wa11946,家電,8200
ad11947,本,1523
ku11948,衣料,8000
de11949,家具,23000
vj11950,雑貨,29600
to11951,家電,7200
pu11952,食品,17100
om11953,本,1545
kz11954,家具,12300
cm11955,雑貨,18000
wx11956,家具,7400
fu11957,本,1731
yr11958,食品,17200
ig11959,本,2195
tm11960,衣料,1600
qn11961,雑貨,5900
pi11962,雑貨,14200
pz11963,雑貨,19900
gq11964,本,792
uk11965,雑貨,24500
xl11966,家電,22300
il11967,衣料,16500
go11968,食品,12300
qv11969,雑貨,21700
gs11970,衣料,11100
sc11971,雑貨,8500
tr11972,家電,14700
wf11973,家電,22000
iz11974,衣料,16900
my11975,本,2159
bc11976,衣料,8900
xx11977,食品,4400
ei11978,本,1932
nm11979,衣料,14400
er11980,家電,24600
jo11981,家電,10400
sl11982,衣料,29200
vy11983,家具,16700
yy11984,家電,18800
zf11985,本,879
as11986,衣料,1700
xz11987,本,1276
gw11988,家具,14500
tj11989,衣料,3900
pi11990,本,607
bs11991,食品,23300
jg11992,家電,14600
gh11993,本,1971
dw11994,食品,28800
hx11995,家具,7600
ks11996,家電,12600
dj11997,家電,14200
ls11998,衣料,22600
vb11999,雑貨,11700
wh12000,家電,12100
vz12001,食品,29200
cd12002,家電,17900
dd12003,本,918
ko12004,本,1453
ei12005,本,1335
az12006,食品,10300
un12007,家具,10900
af12008,食品,28200
kc12009,食品,5100
qi12010,雑貨,4800
ab12011,家具,4200
dn12012,本,1987
ac12013,家具,5600
et12014,家具,4100
ou12015,衣料,10800
mh12016,家電,29600
gy12017,食品,18500
kz12018,家電,15000
cp12019,食品,19500
nu12020,食品,10100
oh12021,衣料,20200
er12022,家電,1400
mk12023,家電,17700
kj12024,食品,29900
th12025,家具,15000
ej12026,雑貨,15500
gs12027,衣料,2700
hh12028,雑貨,22800
ar12029,家電,14700
km12030,本,2274
mq12031,食品,2400
ub12032,家具,8800
jl12033,食品,10800
hl12034,雑貨,29500
rb12035,家具,22900
bq12036,家電,15700
ww12037,家具,8600
zb12038,食品,25700
vu12039,雑貨,13500
lp12040,家電,25600
ck12041,雑貨,12100
qd12042,家電,12200
fm12043,本,1188
ew12044,雑貨,24800
vx12045,本,708
er12046,家電,27300
do12047,食品,9500
iq12048,衣料,4200
aa12049,衣料,14700
wb12050,衣料,17500
ca12051,家電,5600
yu12052,衣料,29900
gw12053,本,1361
bn12054,本,1066
wq12055,衣料,19200
bm12056,雑貨,15500
ur12057,雑貨,26300
ry12058,家電,23400
zz12059,雑貨,18500
yb12060,衣料,23600
cy12061,衣料,17600
mg12062,家具,16900
pm12063,家具,5000
oq12064,家電,15300
ra12065,食品,8700
mx12066,食品,25400
pz12067,本,1360
bn12068,家具,28000
hl12069,衣料,22800
pl12070,家電,10100
xw12071,家電,20900
zn12072,本,654
mo12073,食品,15400
fq12074,雑貨,12900
pp12075,衣料,4800
ry12076,本,972
nm12077,家電,8100
mh12078,食品,18300
re12079,本,1862
vj12080,食品,29900
kd12081,衣料,18300
js12082,食品,28300
eu12083,食品,13100
rj12084,本,1554
rd12085,雑貨,21400
on12086,家具,27700
jo12087,雑貨,20100
jk12088,家電,22100
ij12089,家電,16800
gs12090,食品,22300
fc12091,本,1305
id12092,雑貨,7600
rr12093,衣料,23400
we12094,食品,19000
wv12095,衣料,21900
ss12096,衣料,2600
ej12097,家具,15500
pu12098,雑貨,28100
ek12099,家電,28700
nl12100,雑貨,21300
yo12101,本,907
ak12102,家電,21200
rt12103,家具,13600
bz12104,食品,10400
qs12105,食品,18900
si12106,本,963
aa12107,食品,19500
pl12108,家電,19600
gu12109,本,2187
mw12110,本,1968
xw12111,家具,8000
yj12112,本,718
ft12113,本,856
fg12114,衣料,28700
pi12115,衣料,24200
lp12116,衣料,22400
pr12117,家具,17800
ov12118,食品,1500
wa12119,衣料,5000
gf12120,雑貨,18400
cb12121,家具,3600
oy12122,食品,3300
wc12123,本,1061
pn12124,本,1762
st12125,雑貨,3300
km12126,家具,4500
ev12127,家具,8400
ae12128,衣料,22900
fu12129,食品,13300
rs12130,本,2358
mh12131,家電,25900
db12132,食品,26700
ff12133,衣料,22200
oy12134,食品,8300
vy12135,食品,7900
ww12136,家具,22900
jx12137,本,742
kq12138,家具,22000
lr12139,家具,16700
vf12140,家電,10000
xu12141,雑貨,27800
ef12142,衣料,21600
eg12143,衣料,2600
sj12144,食品,29900
kf12145,本,2090
na12146,家電,12200
hz12147,本,1942
yj12148,衣料,24500
ra12149,家具,17100
tt12150,家具,26300
xk12151,雑貨,11200
no12152,家具,25900
qk12153,家具,21400
jw12154,家具,23900
mr12155,本,906
ga12156,雑貨,2300
zj12157,家電,4700
gx12158,家電,10200
wn12159,雑貨,29600
nu12160,雑貨,5100
ip12161,食品,14200
le12162,本,2323
hc12163,衣料,29900
jx12164,家電,5400
me12165,本,817
ep12166,家電,25200
la12167,家電,13800
xl12168,食品,3100
mp12169,食品,5700
ii12170,雑貨,5700
wi12171,雑貨,9700
kr12172,本,993
zk12173,家具,18600
ns12174,食品,21300
ul12175,家電,13700
qw12176,家具,20500
qw12177,家具,28300
pq12178,雑貨,16800
ob12179,雑貨,9000
lc12180,本,1470
ns12181,食品,20300
bx12182,家電,12000
ul12183,家具,24100
jw12184,家具,5100
sz12185,家具,10600
rk12186,家具,10900
ru12187,家具,7400
li12188,雑貨,3300
ku12189,本,2098
um12190,食品,15800
eg12191,衣料,19100
xt12192,衣料,18500
pq12193,家電,12900
dk12194,本,2355
ez12195,衣料,22100
wc12196,雑貨,23200
lo12197,家電,4400
ww12198,雑貨,28600
wx12199,雑貨,4400
vb12200,衣料,19000
og12201,本,921
dw12202,雑貨,12000
bf12203,食品,13600
ue12204,雑貨,24200
uv12205,本,865
uw12206,衣料,10500
lr12207,雑貨,14200
xa12208,本,1970
wu12209,家電,9100
cq12210,食品,1400
dc12211,食品,9800
zi12212,衣料,19000
kx12213,衣料,12300
ab12214,家具,8000
zf12215,衣料,25100
rh12216,衣料,24600
sm12217,雑貨,24700
wz12218,衣料,5600
wu12219,雑貨,16500
ux12220,家具,27100
il12221,家具,25700
gt12222,家電,2300
kk12223,本,2006
ur12224,雑貨,12900
hx12225,家電,25200
cf12226,家具,14200
hu12227,食品,9800
wk12228,本,1455
ev12229,家具,17100
js12230,衣料,21800
en12231,衣料,12200
lk12232,家具,19300
ph12233,衣料,3100
gw12234,家電,4300
ec12235,家電,15300
vv12236,家電,5400
mv12237,家具,21500
or12238,家具,19600
fy12239,衣料,11600
fa12240,本,751
fl12241,雑貨,12800
mu12242,衣料,25100
ad12243,本,959
yr12244,家電,25200
xu12245,雑貨,7500
bx12246,衣料,5100
cy12247,雑貨,18400
xk12248,衣料,11700
hd12249,本,1340
eq12250,家具,5500
ai12251,衣料,6400
ex12252,本,1197
ia12253,本,2387
fv12254,雑貨,15400
xz12255,食品,9000
fx12256,雑貨,12700
vv12257,雑貨,26500
cm12258,家具,27000
xa12259,家電,25600
jm12260,食品,29600
ya12261,衣料,3300
rj12262,衣料,26900
vl12263,家電,23900
nt12264,食品,17300
ps12265,雑貨,21000
vn12266,家具,18300
co12267,家電,22500
mc12268,衣料,7200
yl12269,家電,2300
we12270,雑貨,24200
xi12271,衣料,6800
un12272,家具,17000
zt12273,食品,7700
ew12274,食品,23400
qp12275,衣料,19500
dp12276,家電,3900
ik12277,本,1907
qr12278,雑貨,22500
yi12279,衣料,4600
uw12280,本,1851
qu12281,本,2110
ad12282,家具,21300
kn12283,雑貨,26700
kr12284,衣料,28600
ct12285,家具,15500
le12286,雑貨,27000
gq12287,食品,25800
qj12288,雑貨,4800
ax12289,雑貨,17100
br12290,衣料,4400
em12291,雑貨,14200
dm12292,衣料,22900
ie12293,家電,25200
nv12294,雑貨,20100
vj12295,食品,3500
ey12296,本,960
wv12297,家電,7100
nm12298,食品,11600
uf12299,衣料,19900
jg12300,家電,20400
vs12301,家電,15900
qz12302,本,840
dk12303,家電,5100
rk12304,衣料,9100
jr12305,家具,28700
dk12306,食品,2500
yb12307,家電,5700
fy12308,家具,10900
bi12309,家電,19900
ro12310,衣料,18500
ku12311,雑貨,1500
dv12312,衣料,23100
og12313,本,1516
al12314,本,2283
dz12315,本,704
ls12316,家電,25900
hk12317,本,1932
ui12318,本,1655
ly12319,衣料,13700
pn12320,家電,17400
yl12321,衣料,14400
gh12322,家電,4300
kj12323,衣料,18300
oc12324,雑貨,13500
mo12325,食品,8800
ac12326,衣料,20800
nv12327,衣料,2500
ug12328,食品,5700
fa12329,家具,24500
aa12330,食品,13600
ud12331,衣料,15400
gc12332,食品,9600
js12333,食品,25600
mq12334,雑貨,18000
vc12335,食品,9700
nn12336,本,2020
fa12337,雑貨,5700
sa12338,衣料,19800
uu12339,家電,3500
uw12340,家具,17200
yo12341,食品,20500
nh12342,食品,8100
zs12343,本,1393
of12344,本,1166
fl12345,食品,10500
ap12346,家電,19600
nt12347,家電,26800
hc12348,食品,9300
ga12349,食品,22600
yj12350,衣料,6200
mx12351,衣料,3500
rm12352,食品,12300
vz12353,家電,7700
gq12354,雑貨,17200
ho12355,衣料,26600
hw12356,食品,1200
yp12357,雑貨,13000
oa12358,雑貨,7300
fa12359,家具,5300
hq12360,家電,26200
fn12361,本,1592
mc12362,家電,22300
yh12363,家電,17500
mg12364,本,1384
xh12365,家具,2300
zk12366,衣料,15800
hv12367,食品,18800
pw12368,本,2047
il12369,家電,24600
ua12370,家電,7400
ht12371,本,1487
ay12372,家具,9700
go12373,雑貨,18400
dj12374,本,2270
ql12375,衣料,17600
ix12376,家具,2000
sw12377,家具,13600
ch12378,本,1978
qa12379,本,1377
bs12380,食品,23000
vh12381,食品,20400
au12382,衣料,12600
yk12383,衣料,4200
bg12384,家電,19800
ol12385,家具,20400
dj12386,家電,5000
au12387,家電,6000
ct12388,食品,18100
va12389,衣料,6900
mq12390,食品,15400
og12391,雑貨,29200
pt12392,衣料,26300
zj12393,家電,5700
xp12394,食品,26300
ba12395,食品,5000
fu12396,食品,7100
we12397,家電,18700
zf12398,食品,4800
cz12399,本,2295
zj12400,本,1166
oo12401,雑貨,7800
zv12402,家具,13700
re12403,家具,17800
wi12404,本,2153
qk12405,食品,6900
gi12406,衣料,14700
rd12407,雑貨,3200
co12408,本,1449
dc12409,本,1421
tj12410,本,1651
xl12411,家具,18000
ok12412,衣料,2300
je12413,本,683
ff12414,衣料,10500
ss12415,本,2208
wq12416,本,1716
oe12417,本,1358
fd12418,家電,12000
xv12419,家具,12200
su12420,家具,26500
zd12421,家電,11400
ch12422,雑貨,7900
co12423,雑貨,20500
ie12424,雑貨,15000
im12425,家電,20500
av12426,衣料,14600
fs12427,衣料,12100
wy12428,雑貨,22500
ua12429,食品,19500
fu12430,食品,14100
yq12431,家具,22000
vc12432,衣料,2600
jg12433,本,1732
sk12434,衣料,25400
td12435,家電,26600
bx12436,本,1520
qc12437,食品,16700
aj12438,本,2081
oj12439,食品,2000
jz12440,食品,26300
co12441,雑貨,26100
mo12442,雑貨,16000
yw12443,本,1814
rv12444,衣料,3800
rh12445,家具,25800
ja12446,家電,4200
pi12447,食品,12400
na12448,家電,17200
tb12449,本,1653
hy12450,本,1294
dh12451,衣料,21500
ky12452,家具,10700
vz12453,食品,1600
bl12454,雑貨,18500
bm12455,家電,13000
gv12456,食品,11200
ba12457,衣料,28100
zl12458,本,2066
rs12459,家電,28400
ij12460,家電,26000
tb12461,衣料,4200
qj12462,家具,21300
wt12463,本,2489
da12464,食品,20300
ek12465,雑貨,1300
ov12466,本,1562
sj12467,雑貨,20300
yk12468,雑貨,15300
vq12469,本,766
gq12470,衣料,4300
li12471,本,1413
qu12472,家電,1800
zl12473,家電,13300
da12474,食品,28800
fw12475,雑貨,27800
nr12476,本,902
ir12477,家電,16600
wj12478,雑貨,28500
my12479,家電,23700
pq12480,家電,15900
fw12481,家電,10100
nk12482,家電,28100
zb12483,本,730
yp12484,家電,25900
vk12485,家具,27700
jx12486,家電,19700
lo12487,家具,13600
kt12488,雑貨,26700
uc12489,衣料,29000
pj12490,家具,25600
cr12491,食品,19800
cl12492,本,1027
vq12493,雑貨,3400
sq12494,衣料,18600
me12495,雑貨,13300
aa12496,衣料,9000
uz12497,家具,13400
fi12498,家電,28100
dm12499,衣料,11200
jb12500,本,1548
ks12501,家具,16800
um12502,本,1506
