customerid,orderdate,orderno,itemprice,orderitem,orderitemcate,ordernum,orderprice,,
U1505687,2019/12/26,20191226-105056,24800,hk12510,雑貨,3,74400,,
U1505743,2021/3/4,20210304-105057,23500,tr10606,雑貨,1,23500,,
R1505827,2020/2/1,20200201-105058,25700,dx10195,衣料,1,25700,,
H1505999,2019/4/1,20190401-105059,18000,mq12334,雑貨,1,18000,,
X1506050,2019/5/31,20190531-105060,28100,az11632,衣料,1,28100,,
R1506116,2021/10/13,20211013-105061,1850,sl12778,本,1,1850,,
A1506274,2020/11/7,20201107-105062,716,yb12905,本,1,716,,
N1506342,2020/1/28,20200128-105063,19400,kt10092,家電,1,19400,,
S1506486,2021/2/27,20210227-105064,27800,mk11322,雑貨,1,27800,,
K1506555,2020/12/3,20201203-105065,2398,fh11062,本,3,7194,,
E1506638,2019/5/8,20190508-105066,25400,bw11886,雑貨,2,50800,,
Y1506730,2019/8/28,20190828-105067,7400,gp10009,雑貨,2,14800,,
M1506821,2019/11/16,20191116-105068,2246,qq12512,本,3,6738,,
Z1506945,2019/5/25,20190525-105069,19800,np12739,家具,1,19800,,
K1507036,2021/7/21,20210721-105070,1904,qa10846,本,3,5712,,
B1507126,2020/11/18,20201118-105071,2800,wr11732,雑貨,1,2800,,
C1507295,2020/4/7,20200407-105072,28500,jv12555,衣料,3,85500,,
U1507343,2020/1/18,20200118-105073,29500,hl12034,雑貨,1,29500,,
L1507477,2019/12/11,20191211-105074,16200,mf10138,家電,2,32400,,
Q1507566,2020/3/28,20200328-105075,26500,jf11709,雑貨,3,79500,,
R1507683,2021/9/16,20210916-105076,1942,fl12803,本,3,5826,,
C1507747,2020/1/10,20200110-105077,2076,pn12829,本,2,4152,,
G1507846,2020/11/27,20201127-105078,20900,aj12806,家具,1,20900,,
X1507977,2019/8/4,20190804-105079,1500,qc12707,雑貨,3,4500,,
Z1508049,2019/8/27,20190827-105080,28000,zx10787,家電,3,84000,,
Z1508137,2021/9/22,20210922-105081,1606,jg11839,本,2,3212,,
Y1508279,2020/3/6,20200306-105082,7900,pr10640,家具,3,23700,,
F1508354,2021/3/19,20210319-105083,10000,hl10704,食品,3,30000,,
Q1508485,2021/9/30,20210930-105084,29600,vj11950,雑貨,3,88800,,
X1508557,2019/10/27,20191027-105085,12500,qm10493,家具,2,25000,,
O1508628,2021/4/25,20210425-105086,7100,fu12396,食品,1,7100,,
X1508779,2020/12/25,20201225-105087,21400,mz11493,食品,2,42800,,
Y1508862,2020/1/24,20200124-105088,13000,gw10914,家電,2,26000,,
Z1508990,2020/9/18,20200918-105089,28500,wj12478,雑貨,1,28500,,
X1509037,2019/7/18,20190718-105090,25400,bw11886,雑貨,2,50800,,
V1509129,2021/4/5,20210405-105091,1568,ti12681,本,2,3136,,
S1509255,2019/3/6,20190306-105092,22000,eg11685,雑貨,2,44000,,
Y1509332,2019/7/12,20190712-105093,25200,ep12166,家電,3,75600,,
C1509448,2019/7/25,20190725-105094,4600,zq12607,家電,3,13800,,
R1509536,2020/3/28,20200328-105095,24400,qq10062,家電,3,73200,,
A1509619,2019/12/16,20191216-105096,19200,rv11269,食品,2,38400,,
C1509755,2021/2/19,20210219-105097,1366,sl11152,本,1,1366,,
N1509879,2019/6/13,20190613-105098,902,nr12476,本,3,2706,,
D1509967,2019/7/24,20190724-105099,2500,nv12327,衣料,3,7500,,
K1510091,2019/9/29,20190929-105100,17900,ge10395,家具,2,35800,,
K1510154,2021/8/5,20210805-105101,2700,gs12027,衣料,2,5400,,
T1510256,2020/8/31,20200831-105102,17800,th10605,食品,1,17800,,
R1510367,2019/9/4,20190904-105103,7200,jw11294,食品,2,14400,,
D1510450,2020/4/17,20200417-105104,22100,qz10888,家電,3,66300,,
Z1510586,2020/5/3,20200503-105105,14400,kk12583,雑貨,2,28800,,
T1510687,2019/3/9,20190309-105106,6700,hw10461,食品,1,6700,,
G1510739,2020/9/10,20200910-105107,6100,cy11936,家電,3,18300,,
K1510875,2019/9/8,20190908-105108,17200,tb10236,雑貨,2,34400,,
Y1510934,2019/11/6,20191106-105109,3300,qw11522,衣料,3,9900,,
Y1511015,2020/2/16,20200216-105110,2493,qf11576,本,3,7479,,
D1511131,2019/11/30,20191130-105111,2088,gq10855,本,2,4176,,
H1511270,2020/8/2,20200802-105112,26400,fg11575,家電,2,52800,,
M1511354,2019/5/24,20190524-105113,1944,bx10697,本,2,3888,,
L1511419,2020/8/11,20200811-105114,26700,an10613,雑貨,1,26700,,
M1511586,2020/11/9,20201109-105115,2900,ja11590,家具,3,8700,,
P1511629,2021/5/4,20210504-105116,1714,xx11164,本,2,3428,,
H1511719,2020/2/29,20200229-105117,27200,ma10497,衣料,3,81600,,
O1511829,2019/2/9,20190209-105118,9100,te11745,家電,2,18200,,
M1511996,2019/10/17,20191017-105119,25200,ep12166,家電,3,75600,,
U1512088,2021/9/9,20210909-105120,18300,mh12078,食品,2,36600,,
Y1512152,2021/6/15,20210615-105121,4700,ra10922,雑貨,3,14100,,
S1512286,2021/7/10,20210710-105122,9000,fg10791,家具,3,27000,,
T1512341,2021/2/3,20210203-105123,27900,on10343,家電,3,83700,,
R1512450,2020/8/19,20200819-105124,1765,bx10805,本,3,5295,,
O1512510,2020/1/4,20200104-105125,13900,au11573,家具,2,27800,,
H1512688,2020/4/16,20200416-105126,27100,ug12804,食品,3,81300,,
V1512790,2019/10/6,20191006-105127,6200,zh11657,家具,1,6200,,
D1512837,2019/4/8,20190408-105128,4100,gx12793,雑貨,3,12300,,
I1512968,2020/9/6,20200906-105129,20500,jp12788,家電,3,61500,,
P1513045,2020/5/6,20200506-105130,1416,wr12890,本,2,2832,,
E1513125,2021/10/7,20211007-105131,918,dd12003,本,1,918,,
H1513259,2020/3/10,20200310-105132,6700,sl12846,家電,3,20100,,
K1513326,2019/10/21,20191021-105133,27800,os11396,家電,3,83400,,
U1513414,2019/9/13,20190913-105134,2020,nn12336,本,2,4040,,
P1513544,2020/12/25,20201225-105135,7900,ly12522,家電,1,7900,,
K1513612,2021/7/8,20210708-105136,6800,zg11344,食品,2,13600,,
L1513765,2020/6/1,20200601-105137,8400,yy11211,家具,2,16800,,
Z1513884,2020/1/29,20200129-105138,15000,vo10556,食品,3,45000,,
G1513971,2021/8/30,20210830-105139,12000,mx11581,家電,1,12000,,
B1514092,2021/4/27,20210427-105140,22500,lu11210,衣料,1,22500,,
U1514117,2021/7/25,20210725-105141,17800,um10102,家電,1,17800,,
K1514214,2020/1/31,20200131-105142,10000,nc12964,家具,3,30000,,
P1514366,2019/9/22,20190922-105143,26400,oq10700,家具,3,79200,,
P1514496,2021/9/19,20210919-105144,13600,fd11926,家具,3,40800,,
D1514528,2020/10/17,20201017-105145,26100,iw11822,家具,3,78300,,
E1514686,2019/10/28,20191028-105146,9800,ph11126,食品,1,9800,,
X1514752,2019/8/10,20190810-105147,14100,ck10480,家電,3,42300,,
R1514834,2021/6/10,20210610-105148,8800,uu10801,衣料,1,8800,,
M1514981,2020/11/4,20201104-105149,28800,dw11994,食品,1,28800,,
H1515086,2020/6/22,20200622-105150,24100,yk12564,雑貨,2,48200,,
F1515126,2020/1/28,20200128-105151,20100,lb11221,家具,2,40200,,
O1515239,2020/12/18,20201218-105152,15100,ul10370,衣料,3,45300,,
F1515327,2020/12/13,20201213-105153,1852,he10017,本,1,1852,,
H1515468,2020/9/30,20200930-105154,27900,jf11070,家具,3,83700,,
I1515573,2019/11/1,20191101-105155,23900,ld10811,家電,2,47800,,
X1515655,2021/10/23,20211023-105156,23600,sy11404,雑貨,2,47200,,
H1515729,2020/4/27,20200427-105157,2355,dk12194,本,1,2355,,
Z1515899,2020/5/18,20200518-105158,12600,mz11669,家電,1,12600,,
T1515945,2020/4/1,20200401-105159,21500,dh12451,衣料,1,21500,,
T1516085,2019/6/28,20190628-105160,11400,td12841,食品,3,34200,,
L1516129,2021/9/26,20210926-105161,13700,wf10874,衣料,2,27400,,
Q1516238,2020/9/8,20200908-105162,1200,mu10984,家具,3,3600,,
X1516364,2020/4/15,20200415-105163,5400,zi10282,食品,2,10800,,
V1516427,2020/2/11,20200211-105164,24800,ew12044,雑貨,2,49600,,
E1516535,2020/4/24,20200424-105165,8800,uu10801,衣料,1,8800,,
X1516613,2020/2/14,20200214-105166,23700,ik11698,家具,1,23700,,
C1516755,2021/2/8,20210208-105167,17300,yi11405,家具,1,17300,,
B1516874,2021/9/9,20210909-105168,23200,na10260,食品,2,46400,,
U1516910,2019/12/8,20191208-105169,4800,qj12288,雑貨,3,14400,,
A1517092,2019/12/28,20191228-105170,9800,mk11318,食品,1,9800,,
Z1517114,2021/7/1,20210701-105171,2270,dj12374,本,2,4540,,
A1517280,2021/3/12,20210312-105172,25900,iz12882,衣料,1,25900,,
Z1517395,2019/8/11,20190811-105173,23900,vu10178,家電,1,23900,,
U1517457,2019/9/16,20190916-105174,17000,nv11095,食品,2,34000,,
Y1517541,2021/6/15,20210615-105175,13600,rt12103,家具,3,40800,,
W1517642,2019/5/11,20190511-105176,16800,ox12526,家電,1,16800,,
U1517753,2019/11/9,20191109-105177,4300,hv11043,衣料,1,4300,,
W1517859,2020/7/16,20200716-105178,21200,ak12102,家電,1,21200,,
Q1517992,2019/8/30,20190830-105179,18700,tl10067,雑貨,3,56100,,
I1518040,2020/8/11,20200811-105180,4300,tg11343,衣料,1,4300,,
M1518170,2020/7/18,20200718-105181,8000,xw12111,家具,2,16000,,
A1518223,2019/7/11,20190711-105182,7200,ns11757,家具,2,14400,,
M1518393,2020/12/14,20201214-105183,7000,zv10162,家具,3,21000,,
S1518469,2020/4/19,20200419-105184,9000,fg10791,家具,1,9000,,
F1518566,2021/10/11,20211011-105185,23400,to10948,家具,1,23400,,
Y1518692,2019/3/12,20190312-105186,3000,ak11423,家具,1,3000,,
G1518791,2019/8/22,20190822-105187,15900,ao11906,食品,3,47700,,
P1518852,2020/3/11,20200311-105188,1681,ao11102,本,1,1681,,
S1518912,2019/7/15,20190715-105189,16200,bt10514,食品,2,32400,,
A1519033,2020/2/22,20200222-105190,9500,do12047,食品,3,28500,,
J1519132,2020/10/30,20201030-105191,11400,yh11289,雑貨,3,34200,,
S1519227,2019/11/10,20191110-105192,2301,be11843,本,2,4602,,
Z1519311,2020/7/4,20200704-105193,29300,ye10947,雑貨,1,29300,,
V1519440,2019/6/28,20190628-105194,18900,qs12105,食品,3,56700,,
N1519584,2021/1/19,20210119-105195,15100,tw10530,家具,2,30200,,
P1519645,2020/3/17,20200317-105196,22200,ff12133,衣料,1,22200,,
Z1519734,2019/10/1,20191001-105197,6000,sb11016,家電,1,6000,,
C1519870,2020/1/16,20200116-105198,1842,nz10322,本,3,5526,,
C1519928,2021/5/5,20210505-105199,17400,zp11603,食品,2,34800,,
N1520047,2020/4/25,20200425-105200,3800,uo10215,雑貨,2,7600,,
Y1520180,2021/6/8,20210608-105201,27800,mk11322,雑貨,2,55600,,
A1520281,2021/4/24,20210424-105202,4000,gf11179,雑貨,2,8000,,
Z1520363,2020/2/8,20200208-105203,1470,lc12180,本,1,1470,,
S1520422,2020/12/16,20201216-105204,22900,dm12292,衣料,2,45800,,
Z1520550,2020/7/10,20200710-105205,14600,kh11627,衣料,3,43800,,
B1520669,2020/1/9,20200109-105206,4200,xw10575,家具,1,4200,,
G1520757,2021/6/23,20210623-105207,670,xa11595,本,1,670,,
W1520849,2020/9/14,20200914-105208,20500,jl10110,衣料,1,20500,,
P1520944,2021/1/18,20210118-105209,1447,xn10377,本,3,4341,,
N1521063,2020/5/21,20200521-105210,10800,ce11779,雑貨,2,21600,,
Q1521118,2019/7/11,20190711-105211,3400,iv11471,衣料,1,3400,,
C1521231,2019/10/17,20191017-105212,13400,jg12832,衣料,1,13400,,
G1521340,2019/6/27,20190627-105213,19100,hw10812,家具,1,19100,,
O1521429,2020/7/14,20200714-105214,2100,na10619,家具,1,2100,,
E1521566,2019/4/15,20190415-105215,20400,xy11746,家具,1,20400,,
W1521623,2021/6/15,20210615-105216,12300,kz11954,家具,3,36900,,
F1521724,2019/7/26,20190726-105217,1411,vx10187,本,2,2822,,
M1521884,2019/5/9,20190509-105218,11500,ob10536,衣料,1,11500,,
S1521997,2019/4/14,20190414-105219,28900,bb10919,家電,3,86700,,
I1522024,2020/6/8,20200608-105220,2800,yf11812,衣料,2,5600,,
Z1522184,2020/9/10,20200910-105221,18800,zd10527,家具,2,37600,,
Y1522291,2019/3/18,20190318-105222,13300,fu12129,食品,1,13300,,
H1522311,2020/7/12,20200712-105223,680,kz11085,本,1,680,,
D1522438,2019/9/6,20190906-105224,29700,lp12790,食品,3,89100,,
J1522545,2019/3/29,20190329-105225,25300,nt10971,食品,1,25300,,
Y1522631,2019/2/15,20190215-105226,27700,lp12956,家具,2,55400,,
R1522776,2019/11/13,20191113-105227,13700,mq10274,衣料,1,13700,,
G1522888,2021/8/18,20210818-105228,25200,hx12225,家電,1,25200,,
P1522959,2021/5/9,20210509-105229,15500,bm12056,雑貨,3,46500,,
W1523056,2019/3/8,20190308-105230,14500,wi11664,家電,2,29000,,
X1523147,2020/2/25,20200225-105231,10500,ug12543,家具,2,21000,,
R1523223,2019/4/30,20190430-105232,20900,cc11153,雑貨,2,41800,,
Q1523387,2021/4/20,20210420-105233,11800,sf11695,雑貨,3,35400,,
X1523459,2020/6/8,20200608-105234,7100,wv12297,家電,1,7100,,
L1523595,2020/10/18,20201018-105235,3900,qp12929,衣料,2,7800,,
F1523678,2020/12/4,20201204-105236,9800,mk11318,食品,1,9800,,
Y1523730,2021/5/2,20210502-105237,9600,gc12332,食品,3,28800,,
U1523835,2019/3/26,20190326-105238,3000,ak11423,家具,1,3000,,
G1523967,2020/2/5,20200205-105239,6800,vs12963,食品,1,6800,,
H1524051,2019/7/21,20190721-105240,2340,tn10885,本,3,7020,,
J1524195,2020/1/19,20200119-105241,2322,fv11544,本,1,2322,,
C1524226,2020/6/24,20200624-105242,4400,lo12197,家電,1,4400,,
P1524364,2020/3/20,20200320-105243,2091,so12962,本,3,6273,,
M1524425,2021/3/4,20210304-105244,26400,se10973,雑貨,2,52800,,
U1524585,2021/3/20,20210320-105245,2490,nt12562,本,1,2490,,
U1524652,2019/8/4,20190804-105246,6900,ib10289,家電,1,6900,,
U1524785,2021/9/24,20210924-105247,1300,aj11543,食品,1,1300,,
P1524878,2019/4/30,20190430-105248,5800,wd12954,家具,2,11600,,
K1524977,2020/4/20,20200420-105249,2500,nv12327,衣料,3,7500,,
R1525016,2019/11/15,20191115-105250,27300,dh12834,食品,3,81900,,
N1525129,2019/5/24,20190524-105251,27300,mi10733,家具,3,81900,,
D1525242,2020/5/26,20200526-105252,3600,ag10732,雑貨,2,7200,,
Z1525313,2021/6/23,20210623-105253,17200,na12448,家電,1,17200,,
L1525499,2021/5/25,20210525-105254,25400,sg10538,雑貨,2,50800,,
C1525531,2020/6/5,20200605-105255,18300,fb12673,家具,2,36600,,
N1525650,2021/6/8,20210608-105256,29500,re10278,雑貨,2,59000,,
E1525728,2021/3/17,20210317-105257,8000,dz11264,家具,2,16000,,
M1525814,2020/6/16,20200616-105258,16300,dr11782,雑貨,2,32600,,
E1525940,2019/12/26,20191226-105259,872,gl11914,本,1,872,,
F1526092,2021/5/21,20210521-105260,16800,un11775,家電,3,50400,,
N1526146,2021/2/19,20210219-105261,22300,mc12362,家電,2,44600,,
I1526249,2021/6/13,20210613-105262,26300,tt12150,家具,3,78900,,
U1526351,2019/2/27,20190227-105263,8800,zz12723,食品,2,17600,,
Q1526468,2019/10/29,20191029-105264,15400,ov12721,食品,2,30800,,
E1526524,2019/8/7,20190807-105265,1013,dc10904,本,2,2026,,
Y1526633,2019/10/16,20191016-105266,2700,zi11942,食品,3,8100,,
O1526739,2019/12/31,20191231-105267,23000,sb11425,雑貨,1,23000,,
R1526821,2020/4/22,20200422-105268,28100,yv10645,衣料,3,84300,,
T1526933,2019/12/13,20191213-105269,18600,ma11774,雑貨,3,55800,,
G1527016,2020/10/12,20201012-105270,1520,js10840,本,1,1520,,
B1527112,2019/7/29,20190729-105271,12300,tv11479,家具,1,12300,,
V1527232,2019/4/23,20190423-105272,12900,py12939,食品,3,38700,,
B1527351,2021/2/23,20210223-105273,8800,zz12723,食品,2,17600,,
A1527463,2021/7/16,20210716-105274,8800,wg11407,衣料,2,17600,,
Z1527592,2019/11/27,20191127-105275,26700,an10613,雑貨,1,26700,,
W1527630,2021/2/7,20210207-105276,26100,hj10301,家具,2,52200,,
V1527732,2021/5/31,20210531-105277,21400,bt10520,衣料,1,21400,,
D1527897,2020/7/8,20200708-105278,12200,oq11042,家電,2,24400,,
D1527967,2020/6/11,20200611-105279,17400,us11390,食品,3,52200,,
Y1528067,2019/12/26,20191226-105280,29500,wp11653,雑貨,1,29500,,
V1528188,2019/10/24,20191024-105281,21000,di10924,家電,3,63000,,
S1528269,2020/7/11,20200711-105282,28700,jr12305,家具,3,86100,,
D1528322,2020/10/7,20201007-105283,28300,kr10890,食品,1,28300,,
V1528418,2020/10/5,20201005-105284,3500,gg10291,家具,3,10500,,
L1528559,2019/6/21,20190621-105285,972,ry12076,本,1,972,,
K1528629,2021/3/24,20210324-105286,1800,qu12472,家電,2,3600,,
R1528722,2021/5/27,20210527-105287,895,kf11767,本,3,2685,,
N1528893,2020/8/18,20200818-105288,1927,fs11645,本,3,5781,,
X1528995,2020/6/3,20200603-105289,6400,vz10745,衣料,2,12800,,
R1529096,2021/6/24,20210624-105290,12600,ks11996,家電,2,25200,,
T1529143,2019/12/20,20191220-105291,13700,ui11799,家具,1,13700,,
I1529218,2019/7/16,20190716-105292,3500,vf10987,衣料,2,7000,,
E1529311,2021/2/27,20210227-105293,14800,pk11019,衣料,3,44400,,
T1529490,2019/9/18,20190918-105294,11600,gp11074,衣料,3,34800,,
P1529599,2020/12/22,20201222-105295,25800,gr10029,食品,3,77400,,
W1529663,2019/12/28,20191228-105296,4700,lv10816,家電,1,4700,,
V1529742,2020/5/28,20200528-105297,21400,li12892,家電,1,21400,,
L1529825,2021/3/10,20210310-105298,27700,wf11024,家具,1,27700,,
K1529992,2020/2/23,20200223-105299,21800,sz12507,雑貨,3,65400,,
V1530038,2019/7/25,20190725-105300,12400,jg12718,雑貨,3,37200,,
L1530116,2019/4/30,20190430-105301,4200,so11492,食品,2,8400,,
X1530292,2021/5/2,20210502-105302,24700,bi10612,衣料,1,24700,,
T1530313,2021/2/9,20210209-105303,27700,ib11824,衣料,2,55400,,
E1530462,2021/4/18,20210418-105304,895,kf11767,本,2,1790,,
D1530547,2019/6/2,20190602-105305,13300,wp10189,家具,3,39900,,
Y1530635,2020/4/2,20200402-105306,22100,np10039,衣料,1,22100,,
P1530744,2021/10/16,20211016-105307,670,xa11595,本,3,2010,,
X1530837,2021/10/11,20211011-105308,12500,oi10219,雑貨,1,12500,,
H1530942,2019/3/29,20190329-105309,19200,rv11269,食品,1,19200,,
D1531086,2019/2/13,20190213-105310,10700,ve10196,家具,2,21400,,
O1531161,2020/10/27,20201027-105311,7400,da10011,家電,1,7400,,
O1531232,2020/12/3,20201203-105312,1166,kk11386,本,3,3498,,
A1531382,2020/8/24,20200824-105313,1760,yc10843,本,1,1760,,
G1531422,2019/4/29,20190429-105314,13200,wb10151,家電,1,13200,,
Z1531535,2021/2/4,20210204-105315,26800,te11884,家具,1,26800,,
E1531613,2021/4/19,20210419-105316,25400,hh11158,衣料,1,25400,,
X1531799,2021/9/12,20210912-105317,14700,zq11097,雑貨,3,44100,,
P1531845,2021/3/27,20210327-105318,2049,nv11634,本,3,6147,,
P1531959,2019/7/20,20190720-105319,1520,js10840,本,2,3040,,
R1532045,2020/6/10,20200610-105320,8400,rh10072,家具,2,16800,,
L1532193,2020/3/21,20200321-105321,24800,st12967,雑貨,1,24800,,
I1532218,2020/8/27,20200827-105322,23900,kk11263,食品,1,23900,,
W1532348,2021/5/1,20210501-105323,13100,wl12653,家電,3,39300,,
T1532472,2021/3/4,20210304-105324,18800,or12779,家電,3,56400,,
J1532556,2021/3/9,20210309-105325,5100,kc12009,食品,1,5100,,
Y1532694,2020/2/1,20200201-105326,11700,vb11999,雑貨,1,11700,,
U1532749,2021/3/16,20210316-105327,879,zf11985,本,3,2637,,
A1532888,2020/9/18,20200918-105328,17900,gh10050,衣料,1,17900,,
H1532969,2019/9/21,20190921-105329,9300,nt10300,衣料,2,18600,,
H1533050,2019/8/12,20190812-105330,29900,db10457,家具,3,89700,,
O1533112,2020/2/5,20200205-105331,15300,oq12064,家電,1,15300,,
B1533258,2020/3/1,20200301-105332,650,ph11530,本,1,650,,
E1533396,2020/8/23,20200823-105333,9600,zo11780,家電,1,9600,,
D1533459,2021/3/24,20210324-105334,5100,bf12921,家電,2,10200,,
Q1533560,2021/7/7,20210707-105335,2430,be11813,本,1,2430,,
Q1533669,2021/10/12,20211012-105336,10100,jd12516,食品,2,20200,,
P1533766,2021/7/28,20210728-105337,2355,dk12194,本,2,4710,,
I1533893,2021/2/17,20210217-105338,22500,vr11778,衣料,2,45000,,
C1533997,2019/8/7,20190807-105339,2061,xs11574,本,3,6183,,
I1534089,2020/6/13,20200613-105340,959,ad12243,本,2,1918,,
Q1534142,2020/8/30,20200830-105341,679,lm10218,本,1,679,,
C1534225,2021/1/17,20210117-105342,12500,qm10493,家具,2,25000,,
L1534319,2020/5/24,20200524-105343,18600,lx11406,衣料,1,18600,,
K1534471,2019/4/21,20190421-105344,1070,px11022,本,2,2140,,
Q1534549,2020/8/27,20200827-105345,1200,bn11700,家具,1,1200,,
Q1534616,2020/10/31,20201031-105346,7300,el10860,食品,2,14600,,
L1534745,2019/3/21,20190321-105347,9800,tb10441,食品,1,9800,,
Z1534842,2020/4/25,20200425-105348,27100,hz12869,食品,1,27100,,
U1534959,2020/11/20,20201120-105349,3800,bf10201,食品,3,11400,,
V1535012,2020/8/24,20200824-105350,7700,xg10962,食品,2,15400,,
L1535162,2020/7/1,20200701-105351,15500,ey12581,衣料,3,46500,,
K1535241,2021/2/1,20210201-105352,5400,vv12236,家電,3,16200,,
W1535354,2020/8/20,20200820-105353,3800,ph10251,家電,3,11400,,
Y1535487,2021/4/4,20210404-105354,4300,tg11343,衣料,2,8600,,
Q1535580,2020/4/22,20200422-105355,17900,bb10850,衣料,2,35800,,
H1535616,2020/7/14,20200714-105356,6200,yj12350,衣料,2,12400,,
X1535766,2020/10/3,20201003-105357,10600,kg10641,家具,2,21200,,
G1535857,2019/2/24,20190224-105358,11200,se10429,家電,3,33600,,
Z1535937,2021/3/21,20210321-105359,2400,mq12031,食品,1,2400,,
Z1536099,2021/2/3,20210203-105360,24800,zp10265,食品,3,74400,,
B1536131,2020/1/8,20200108-105361,24100,vw12775,食品,2,48200,,
Z1536295,2020/5/2,20200502-105362,3500,mx12351,衣料,2,7000,,
Y1536359,2021/9/20,20210920-105363,2300,py11265,家電,1,2300,,
J1536417,2019/5/29,20190529-105364,20500,co12423,雑貨,2,41000,,
U1536543,2021/3/6,20210306-105365,12500,oi10219,雑貨,1,12500,,
O1536615,2021/2/15,20210215-105366,1458,yh12932,本,1,1458,,
U1536760,2021/6/13,20210613-105367,21100,cm11333,雑貨,3,63300,,
I1536821,2019/9/2,20190902-105368,869,ib12534,本,2,1738,,
Y1536918,2021/4/4,20210404-105369,20200,nq11411,雑貨,3,60600,,
W1537051,2020/1/10,20200110-105370,13700,rp10776,食品,2,27400,,
N1537160,2019/6/10,20190610-105371,1200,ig12636,家電,2,2400,,
A1537236,2019/11/24,20191124-105372,13800,vg12621,家具,2,27600,,
M1537347,2020/5/25,20200525-105373,13300,me12495,雑貨,3,39900,,
O1537422,2019/11/22,20191122-105374,13600,pm12959,家具,2,27200,,
E1537590,2019/11/4,20191104-105375,8100,je12644,家電,1,8100,,
M1537659,2020/1/27,20200127-105376,13200,pz10355,雑貨,1,13200,,
A1537728,2021/4/24,20210424-105377,10800,ko11928,家具,1,10800,,
Z1537846,2020/12/30,20201230-105378,23200,gx11489,食品,1,23200,,
P1537914,2020/3/13,20200313-105379,2393,ok12901,本,1,2393,,
M1538099,2021/7/27,20210727-105380,2398,fh11062,本,1,2398,,
J1538135,2019/10/17,20191017-105381,13600,rt12103,家具,1,13600,,
N1538274,2019/6/15,20190615-105382,15800,um12190,食品,1,15800,,
E1538351,2021/8/6,20210806-105383,14300,oy10827,家具,3,42900,,
C1538440,2019/5/3,20190503-105384,4400,jq11945,家具,3,13200,,
Y1538553,2019/8/29,20190829-105385,10600,sz12185,家具,3,31800,,
K1538617,2021/7/29,20210729-105386,607,pi11990,本,2,1214,,
Y1538774,2021/5/22,20210522-105387,1574,wo11795,本,2,3148,,
P1538813,2020/4/29,20200429-105388,26800,kv10311,家電,1,26800,,
S1538954,2020/2/15,20200215-105389,23300,ez11899,家具,3,69900,,
Z1539083,2021/8/24,20210824-105390,1729,hi10806,本,3,5187,,
U1539164,2021/3/17,20210317-105391,19600,or12238,家具,3,58800,,
H1539257,2019/4/19,20190419-105392,1655,ui12318,本,3,4965,,
L1539394,2021/3/27,20210327-105393,15500,bm12056,雑貨,1,15500,,
F1539425,2021/6/14,20210614-105394,29700,se10376,家電,3,89100,,
Z1539559,2019/8/8,20190808-105395,10200,ib11567,食品,1,10200,,
L1539617,2020/5/18,20200518-105396,22100,ez12195,衣料,2,44200,,
J1539788,2019/4/4,20190404-105397,22900,bo10534,食品,1,22900,,
T1539848,2020/10/11,20201011-105398,15000,ge11752,衣料,3,45000,,
N1539976,2019/10/19,20191019-105399,20500,ee11640,家電,2,41000,,
D1540062,2020/2/21,20200221-105400,23300,kg10350,家電,2,46600,,
Y1540165,2021/6/28,20210628-105401,10800,my11353,家電,1,10800,,
Q1540254,2020/11/14,20201114-105402,3500,mx12351,衣料,2,7000,,
F1540331,2020/5/20,20200520-105403,1584,gq11453,本,2,3168,,
J1540464,2020/3/30,20200330-105404,1329,fi11084,本,1,1329,,
N1540542,2020/8/11,20200811-105405,1836,vn11470,本,3,5508,,
V1540614,2019/4/5,20190405-105406,20500,im12425,家電,2,41000,,
S1540760,2019/11/20,20191120-105407,9700,ay12372,家具,1,9700,,
R1540888,2020/11/9,20201109-105408,1458,yh12932,本,1,1458,,
T1540994,2021/10/27,20211027-105409,1707,jw10484,本,1,1707,,
G1541099,2020/9/19,20200919-105410,24300,ts10358,家電,2,48600,,
Y1541196,2019/5/27,20190527-105411,12100,cy10073,衣料,2,24200,,
R1541228,2019/11/12,20191112-105412,12800,wt10729,食品,1,12800,,
B1541358,2019/5/31,20190531-105413,28100,fi12498,家電,2,56200,,
K1541456,2020/2/13,20200213-105414,17800,fg11525,衣料,1,17800,,
F1541594,2021/3/11,20210311-105415,6900,do10227,食品,1,6900,,
L1541692,2020/7/31,20200731-105416,23800,fs10533,食品,3,71400,,
O1541732,2021/10/10,20211010-105417,25400,fq11935,家電,1,25400,,
H1541831,2020/2/7,20200207-105418,2100,na10619,家具,3,6300,,
X1541962,2020/2/7,20200207-105419,12900,cz12931,食品,3,38700,,
P1542073,2021/1/9,20210109-105420,24900,zu10022,家具,1,24900,,
N1542132,2019/8/24,20190824-105421,804,te12761,本,2,1608,,
X1542223,2019/7/17,20190717-105422,16600,yu10160,食品,3,49800,,
J1542377,2020/7/25,20200725-105423,14400,ll11345,家電,1,14400,,
Z1542425,2020/1/2,20200102-105424,11500,bs11551,食品,2,23000,,
S1542579,2019/2/25,20190225-105425,1800,qu12472,家電,2,3600,,
C1542658,2019/5/4,20190504-105426,8300,oy12134,食品,3,24900,,
F1542724,2021/8/9,20210809-105427,21700,up10499,衣料,1,21700,,
T1542858,2021/5/30,20210530-105428,14200,na11225,雑貨,3,42600,,
E1542940,2021/9/30,20210930-105429,15900,np10406,食品,1,15900,,
E1543014,2020/12/21,20201221-105430,28300,dg11467,衣料,2,56600,,
